2026-03-04 13:22:03 | System | N/A | Logo Engine Booting => Staggering 1 concurrent streams.
2026-03-04 16:05:24.982 | INFO     | System | score=N/A | status=Engine started with 2 streams, poll=10.0s, workers=2, recommended_workers=2.
2026-03-04 16:05:24.991 | INFO     | System | score=N/A | status=API server listening on http://0.0.0.0:8000
2026-03-04 16:05:29.044 | WARNING  | SAB_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:05:33.103 | WARNING  | SAB_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:05:34.084 | WARNING  | Sony_Pal_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:05:38.121 | WARNING  | Sony_Pal_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:05:39.060 | WARNING  | SAB_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:05:43.102 | WARNING  | SAB_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:05:44.119 | WARNING  | Sony_Pal_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:05:48.154 | WARNING  | Sony_Pal_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:05:49.080 | WARNING  | SAB_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:05:53.129 | WARNING  | SAB_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:05:54.137 | WARNING  | Sony_Pal_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:05:58.154 | WARNING  | Sony_Pal_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:05:59.037 | WARNING  | SAB_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:06:03.078 | WARNING  | SAB_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:06:04.183 | WARNING  | Sony_Pal_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:06:08.212 | WARNING  | Sony_Pal_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:06:09.148 | WARNING  | SAB_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:06:13.179 | WARNING  | SAB_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:06:14.231 | WARNING  | Sony_Pal_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:06:18.257 | WARNING  | Sony_Pal_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:06:19.186 | WARNING  | SAB_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:06:23.232 | WARNING  | SAB_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:06:24.280 | WARNING  | Sony_Pal_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:07:05.961 | INFO     | System | score=N/A | status=Engine started with 2 streams, poll=10.0s, workers=2, recommended_workers=2.
2026-03-04 16:07:05.977 | INFO     | System | score=N/A | status=API server listening on http://0.0.0.0:8000
2026-03-04 16:07:10.012 | WARNING  | SAB_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:08:49.757 | INFO     | System | score=N/A | status=Engine started with 2 streams, poll=10.0s, workers=2, recommended_workers=2.
2026-03-04 16:08:49.766 | INFO     | System | score=N/A | status=API server listening on http://0.0.0.0:8000
2026-03-04 16:11:51.341 | INFO     | System | score=N/A | status=Engine started with 2 streams, poll=10.0s, workers=2, recommended_workers=2.
2026-03-04 16:11:51.349 | INFO     | System | score=N/A | status=API server listening on http://0.0.0.0:8000
2026-03-04 16:11:55.382 | WARNING  | SAB_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:11:59.458 | WARNING  | SAB_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:12:00.456 | WARNING  | Sony_Pal_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:12:04.477 | WARNING  | Sony_Pal_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:12:05.423 | WARNING  | SAB_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:12:09.447 | WARNING  | SAB_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:12:10.461 | WARNING  | Sony_Pal_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:12:14.497 | WARNING  | Sony_Pal_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:12:15.422 | WARNING  | SAB_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:12:19.473 | WARNING  | SAB_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:12:20.476 | WARNING  | Sony_Pal_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:12:24.512 | WARNING  | Sony_Pal_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:12:25.448 | WARNING  | SAB_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:12:29.494 | WARNING  | SAB_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:12:30.473 | WARNING  | Sony_Pal_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:12:34.522 | WARNING  | Sony_Pal_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:12:35.457 | WARNING  | SAB_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:12:39.480 | WARNING  | SAB_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:12:40.475 | WARNING  | Sony_Pal_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:12:44.537 | WARNING  | Sony_Pal_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:12:45.546 | WARNING  | SAB_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:12:49.585 | WARNING  | SAB_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:12:50.556 | WARNING  | Sony_Pal_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:12:54.597 | WARNING  | Sony_Pal_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
2026-03-04 16:12:55.557 | WARNING  | SAB_HD capture failed (attempt 1/2): stream timeout. Retrying in 1.00s.
2026-03-04 16:12:59.609 | WARNING  | SAB_HD | score=N/A | status=STREAM_TIMEOUT | retries=1 | error=stream timeout
